id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai
113,Cô Giáo Thảo Mai,Hoàn thành,Artemio Abad,49 phút,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD
114,Sự Quyến Rũ Chết Người,Hoàn thành,Adul Boonboot,47 phút/tập,Vietsub,2018,Thái Lan,"Tình Cảm, Tâm Lý",HD
115,Thợ Săn Hoang Mạc,Hoàn thành,Heo Myung Haeng,145Phút,Lồng Tiếng,2024,Hàn Quốc,"Tâm Lý, Phiêu Lưu, Hành Động, Hình Sự",HD
116,Anh Hùng Nặng Vai,Hoàn thành,Dương Cẩm Tuyền,45 Phút/Tập,Lồng Tiếng,1996,Hồng Kông,"Phim bộ, Cổ Trang",HD
117,Ám Sát Ông Vua Nhạc RocknRoll,Hoàn thành,Eddie O'Keefe,90 phút,Vietsub,2016,Âu Mỹ,"Phim lẻ, Hình Sự, Chính kịch, Lãng Mạn",HD
118,Tiểu Nương Tử Nhà Tướng Quân,Hoàn thành,Qiang Wu,45 phút/tập,Thuyết Minh,2020,Trung Quốc,Tâm Lý,HD
119,Quân Cửu Linh,Hoàn thành,Tạ Trạch,45 phút/tập,Vietsub,2021,Trung Quốc,Cổ Trang,HD
120,Bí Mật Quốc Gia,Hoàn thành,"Hàn Bác Văn, Phan Cảnh Thừa",44 phút/tập,Lồng Tiếng,2017,Trung Quốc,"Tình Cảm, Hình Sự",HD
121,Lớp Học Của Nữ Hoàng (Bản Nhật),Hoàn thành,Hitoshi Iwamoto,45 Phút/Tập,Vietsub,2005,Nhật Bản,"Phim bộ, Chính kịch",HD
122,Lọ Lem 2 Giờ Sáng,Hoàn thành,Seo Min Jung,50 phút/tập,Thuyết Minh,2024,Hàn Quốc,"Chính kịch, Tình Cảm, Tâm Lý, Gia Đình",HD
123,Chúng Ta Hãy Kết Hôn Nhé,Đang chiếu,Kim Sung Geun,30 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình",HD
124,Gã Hề Điên Loạn 2,Hoàn thành,Damien Leone,2 giờ 18 phút,Vietsub,2022,Âu Mỹ,"Kinh Dị, Phim 18+",HD
125,Gã Hề Điên Loạn,Hoàn thành,Damien Leone,60 Phút/Tập,Vietsub,2017,Âu Mỹ,"Tâm Lý, Kinh Dị, Bí ẩn",HD
126,Bỗng Dưng Trúng Mánh,Hoàn thành,Hwang Dong-seok,105 phút,Vietsub,2023,Hàn Quốc,"Phim lẻ, Hành Động, Hình Sự, Chính kịch",HD
127,Venom: Kèo Cuối,Hoàn thành,Kelly Marcel,109 Phút,VietSub,2024,Âu Mỹ,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD
128,Gia Đình Darim,Đang chiếu,Sung Joon Hae,70 phút/tập,Vietsub,2024,Hàn Quốc,"Hài Hước, Gia Đình, Tình Cảm, Chính kịch, Tâm Lý",HD
129,Mỏng Manh Dễ Vỡ,Hoàn thành,Kim Ji Hoon,30 phút/tập,Vietsub,2024,Hàn Quốc,"Tình Cảm, Gia Đình, Học Đường",HD
130,Tiger Crane,Đang chiếu,Zhao Bingle,null phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Hoạt Hình",HD
131,Vụ không tặc 1993,Hoàn thành,Robert Peters,86 Phút,Vietsub,2024,Nigeria,Chính kịch,HD
132,Robot Hoang Dã,Hoàn thành,Chris Sanders,102 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Khoa Học, Gia Đình, Hoạt Hình",HD
133,Transformers Một,Hoàn thành,Josh Cooley,104 Phút,Lồng Tiếng,2024,Âu Mỹ,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Gia Đình, Hoạt Hình",HD
134,Bẫy,Hoàn thành,M. Night Shyamalan,105phút,Vietsub,2024,Âu Mỹ,Bí ẩn,HD
135,Mục Thần Ký,Đang chiếu,沈乐平,20 phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Hoạt Hình",HD
136,Hyeri Yêu Dấu (Gửi Hyeri của Tôi),Hoàn thành,"Jung Ji Hyun, Heo Seok Won",70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý",HD
137,Vẻ Đẹp Đích Thực,Hoàn thành,Kim Sang Hyub,45 phút/tập,VietSub,2021,Hàn Quốc,"Tình Cảm, Hài Hước",HD
139,Cô Gái Nhìn Thấy Mùi Hương,Hoàn thành,LinYi,43M36S,Vietsub,2019,Trung Quốc,Tình Cảm,HD
140,Quả Bí Mật,Hoàn thành,Lian Yi Qi,38M38S,Vietsub,2017,Trung Quốc,"Tình Cảm, Tâm Lý",HD
141,Hoa Lang,Hoàn thành,"Rick Yune, Richard Yun",59 phút/tập,Vietsub,2016,Hàn Quốc,Cổ Trang,HD
142,Hành Trang Làm Mẹ,Hoàn thành,Đang cập nhật,45 phút/tập,Thuyết Minh,2020,Đài Loan,"Gia Đình, Chính kịch",FHD
