id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
80,Vô Gian Nhất Chiến,Hoàn thành,Mak Ho-Pong,86 phút,Vietsub,2023,Trung Quốc,"Hình Sự, Hành Động",FHD,392.0,8.0,1.0
81,Thảm Họa Núi Lửa Katla,Hoàn thành,"Baltasar Kormákur, Sigurjón Kjartansson",43 phút/tập,Vietsub,2021,Iceland,"Chính kịch, Bí ẩn, Khoa Học, Viễn Tưởng",FHD,367.0,8.0,1.0
82,Em Không Ngốc 3,Hoàn thành,Jack Neo,132 phút,Vietsub,2024,Singapore,"Chính kịch, Hài Hước, Gia Đình",FHD,109.0,8.0,1.0
83,Vân Tịch Truyện,Hoàn thành,Lưu Trấn Minh,45 phút,Vietsub,2018,Trung Quốc,"Tình Cảm, Cổ Trang, Tâm Lý",HD,67104.0,8.0,1.0
85,Gundam: Khúc cầu hồn thù hận,Hoàn thành,Đang cập nhật,24 phút/tập,Vietsub,2024,Nhật Bản,"Khoa Học, Viễn Tưởng, Hoạt Hình",FHD,427.0,8.0,1.0
86,Nghe Thấy Giọng Nói Của Em,Hoàn thành,Hermione,33 phút/tập,Vietsub,2022,Trung Quốc,Hành Động,HD,12564.0,8.0,1.0
87,Bài Học Tình Yêu Thứ 9,Hoàn thành,Wang Li Wen,55 phút/tập,Vietsub,2022,Đài Loan,"Tâm Lý, Gia Đình, Học Đường",FHD,16076.0,8.0,1.0
88,Thủ Lĩnh Sho Huyền Thoại,Hoàn thành,"Ueda Hisashi, Sumida Takashi",50 phút/tập,Vietsub,2024,Nhật Bản,"Phim bộ, Hành Động, Phim Hài",HD,373.0,8.0,1.0
89,Tam Sinh Vô Thương,Đang chiếu,Wen Hong Yi,20 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Cổ Trang",HD,2339.0,8.0,1.0
91,Cú Máy Ăn Tiền,Hoàn thành,김지운,135 phút,Vietsub,2023,Hàn Quốc,"Hài Hước, Chính kịch, Lịch Sử",FHD,406.0,8.0,1.0
92,Người Đàn Ông Yêu UFO,Hoàn thành,Diego Lerman,107 Phút,Vietsub,2024,Argentina,"Hài Hước, Chính kịch",HD,104.0,8.0,1.0
93,The Life and Movies of Erşan Kuneri Phần 2,Hoàn thành,Cem Yılmaz,50 phút/tập,Vietsub,2024,Thổ Nhĩ Kỳ,Hài Hước,HD,144.0,8.0,1.0
95,Nhà Của Bé Sư Tử,Đang chiếu,Toshio Tsuboi,45 phút/tập,Vietsub,2024,Nhật Bản,"Gia Đình, Chính kịch, Bí ẩn",HD,196.0,8.0,1.0
96,Đoàn Tàu Cõi Âm,Hoàn thành,Rizal Mantovani,102 phút,VietSub,2024,Indonesia,"Kinh Dị, Tâm Lý, Bí ẩn",HD,781.0,8.0,1.0
99,Mật Mã Lệch Lạc,Hoàn thành,"Jojo Tichakorn Phukhaotong, Ninew Pinya Chookamsri",50 phút/tập,VietSub,2022,Thái Lan,"Tình Cảm, Hài Hước, Chính kịch, Học Đường",FHD,9282.0,8.0,1.0
100,Lời Hồi Đáp 1988-LEE HYE RI,Hoàn thành,Shen Yuan Hao,90 phút/tập,Thuyết Minh,2015,Hàn Quốc,"Tình Cảm, Tâm Lý",HD,99375.0,10.0,2.0
101,Dự Án Hồ Muối,Hoàn thành,Lu Lei,90 phút,Vietsub,2024,Trung Quốc,"Phim lẻ, Phiêu Lưu, Phim Hài, Hình Sự",HD,266.0,8.0,1.0
102,Thất Dạ Tuyết,Hoàn thành,"Ren Haitao, Liang Sheng Quan",45 phút/ tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Hành Động, Cổ Trang",HD,8872.0,8.0,1.0
103,Thêm Một Lần Nữa,Hoàn thành,hwang kyung sung,30 phút/ tập,VietSub,2022,Hàn Quốc,Tình Cảm,HD,5902.0,8.0,1.0
104,Lửa Và Nước,Hoàn thành,Sion Sono,129Phút,Vietsub,2011,Nhật Bản,"Hình Sự, Chính kịch",HD,3359.0,8.0,1.0
105,Bộ Tứ Siêu Đẳng: Sứ Giả Bạc,Hoàn thành,Tim Story,92 Phút,Vietsub,2007,Âu Mỹ,"Hành Động, Hình Sự, Phiêu Lưu, Bí ẩn",HD,2865.0,8.0,1.0
107,Đô Thị Cổ Tiên Y,Đang chiếu,Đang cập nhật,9 phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Phiêu Lưu, Viễn Tưởng, Hoạt Hình",FHD,354.0,8.0,1.0
108,Vincenzo,Hoàn thành,Kim Hee-Won,60 phút/tập,VietSub,2021,Hàn Quốc,"Hành Động, Hình Sự, Phiêu Lưu",HD,72248.0,8.0,1.0
109,Câu Chuyện Sau Chia Tay,Hoàn thành,Moon Hyun Sung,60 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý",HD,3571.0,8.0,1.0
110,Bản Án Từ Địa Ngục Phần 2,Hoàn thành,Choi Gyu Seok,52 phút/ tập,VietSub,2024,Hàn Quốc,"Hình Sự, Viễn Tưởng, Khoa Học, Chính kịch",HD,978.0,8.0,1.0
112,Trò Chơi Đuổi Bắt W2,Hoàn thành,Tomoya Sugioka,23 phút/tập,Vietsub,2024,Nhật Bản,"Tình Cảm, Chính kịch, Tâm Lý",HD,710.0,8.0,1.0
113,Cô Giáo Thảo Mai,Hoàn thành,Artemio Abad,49 phút,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD,670.0,8.0,1.0
114,Sự Quyến Rũ Chết Người,Hoàn thành,Adul Boonboot,47 phút/tập,Vietsub,2018,Thái Lan,"Tình Cảm, Tâm Lý",HD,14486.0,8.0,1.0
115,Thợ Săn Hoang Mạc,Hoàn thành,Heo Myung Haeng,145Phút,Lồng Tiếng,2024,Hàn Quốc,"Tâm Lý, Phiêu Lưu, Hành Động, Hình Sự",HD,17535.0,10.0,2.0
116,Anh Hùng Nặng Vai,Hoàn thành,Dương Cẩm Tuyền,45 Phút/Tập,Lồng Tiếng,1996,Hồng Kông,"Phim bộ, Cổ Trang",HD,295.0,8.0,1.0
117,Ám Sát Ông Vua Nhạc RocknRoll,Hoàn thành,Eddie O'Keefe,90 phút,Vietsub,2016,Âu Mỹ,"Phim lẻ, Hình Sự, Chính kịch, Lãng Mạn",HD,240.0,8.0,1.0
118,Tiểu Nương Tử Nhà Tướng Quân,Hoàn thành,Qiang Wu,45 phút/tập,Thuyết Minh,2020,Trung Quốc,Tâm Lý,HD,36226.0,10.0,1.0
119,Quân Cửu Linh,Hoàn thành,Tạ Trạch,45 phút/tập,Vietsub,2021,Trung Quốc,Cổ Trang,HD,19631.0,8.0,1.0
120,Bí Mật Quốc Gia,Hoàn thành,"Hàn Bác Văn, Phan Cảnh Thừa",44 phút/tập,Lồng Tiếng,2017,Trung Quốc,"Tình Cảm, Hình Sự",HD,12397.0,8.0,1.0
