id_phim,luotxem,rating,vote
227,128,8,1
228,14964,8,1
229,1263,8,1
230,355,8,1
231,197,8,1
232,156,8,1
233,834,8,1
234,819,8,1
235,122,8,1
236,65,8,1
237,3526,8,1
238,2424,8,1
239,3963,8,1
240,316,8,1
241,4891,9.5,2
242,65,8,1
243,4170,8,1
244,135,8,1
246,2086,8,1
247,256,8,1
248,102,8,1
249,334,8,1
250,1104,8,1
251,43,8,1
252,46,8,1
253,38,8,1
254,33,8,1
255,636,8,1
256,247,8,1
257,922,8,1
258,2860,8,1
259,625,8,1
260,31,8,1
261,32,8,1
262,37,8,1
263,2146,8,1
264,2180,8,1
265,539,8,1
266,129,8,1
267,138,8,1
268,2998,8,1
269,30,8,1
270,61,8,1
271,550,8,1
273,180,8,1
274,319,8,1
275,11682,10,1
276,23,8,1
277,4443,8,1
279,9,8,1
280,9220,9.5,2
281,96336,8.2,11
282,326,8,1
283,1922,8,1
284,480,8,1
285,551,8,1
286,38338,8,1
287,680,8,1
288,1276,8,1
289,783,8,1
290,357,8,1
291,459,8,1
292,353,8,1
293,370,8,1
294,339,8,1
295,339,8,1
296,541,8,1
297,457,8,1
298,807,8,1
300,478,8,1
301,647,8,1
302,552,8,1
303,774,8,1
304,406,8,1
305,666,8,1
306,683,8,1
307,591,8,1
308,4387,8,1
309,732,8,1
310,695,8,1
311,694,8,1
312,14219,8,1
313,16356,8,1
314,116328,7.2,11
315,2473,8,1
316,59586,10,1
317,5190,8,1
318,3052,8,1
319,10461,8,1
320,419,8,1
322,699,8,1
323,397,8,1
324,3049,8,1
325,664,8,1
326,537,8,1
327,409,8,1
329,4707,8,1
330,2550,8,1
331,534,8,1
332,5372,8,1
333,15050,10,1
334,19734,8,1
335,10381,8,1
336,3204,8,1
337,669,8,1
338,613,8,1
339,2906,8,1
340,2161,8,1
341,1707,8,1
342,1105,8,1
343,1209,8,1
344,566,8,1
345,387,8,1
346,1360,8,1
347,454,8,1
348,477,8,1
350,630,8,1
351,2251,8,1
352,4958,8,1
353,426,8,1
355,2912,8,1
356,2893,8,1
357,1118,8,1
358,1139,8,1
359,435,8,1
361,582,8,1
362,467,8,1
363,485,8,1
364,1065,8,1
365,924,8,1
366,672,8,1
367,995,8,1
369,730,8,1
370,404,8,1
372,1099,8,1
373,1088,8,1
374,1178,8,1
376,344,8,1
377,642,8,1
378,326,8,1
379,506,8,1
380,1393,8,1
381,295,8,1
382,614,8,1
383,1816,8,1
384,436,8,1
385,351,8,1
386,469,8,1
387,520,8,1
388,308,8,1
389,433,8,1
391,729,8,1
392,815,8,1
394,2949,8,1
395,314,8,1
396,1872,8,1
397,355,8,1
398,282,8,1
400,329,8,1
403,578,8,1
405,2250,8,1
406,3402,8,1
408,543,8,1
409,4547,8,1
410,3555,8,1
411,142565,6,2
412,12039,8,1
413,567,8,1
414,1390,8,1
415,21739,8,1
416,135706,10,1
417,7475,8,1
418,22976,8,1
420,4389,8,1
421,147311,8.5,2
422,1237,8,1
423,19270,8,1
424,22531,8,1
425,24216,8,1
426,18645,8,1
427,3435,8,1
428,2155,8,1
429,7484,8,1
430,3074,8,1
431,1832,8,1
432,64709,8,1
433,12179,8,1
434,16646,8,1
435,6770,8,1
436,1082,8,1
437,50685,8,1
438,11797,8,1
439,6934,8,1
440,37341,8,1
441,64017,5.8,5
442,18066,8,1
443,21982,8,1
444,4621,8,1
445,2293,8,1
446,379,8,1
448,1159,8,1
449,3278,8,1
450,2520,8,1
452,726,8,1
453,598,8,1
454,2620,8,1
455,10659,8,1
456,218993,8,3
457,22292,8,1
458,23078,8,1
459,2590,8,1
460,4305,8,1
461,5318,8,1
462,15633,10,2
463,47861,10,2
464,540,8,1
465,5225,8,1
466,308,8,1
467,238,8,1
468,268,8,1
469,291,8,1
470,592,8,1
471,5525,8,1
472,247,8,1
473,521,8,1
474,447,8,1
475,282,8,1
476,392,8,1
477,553,8,1
478,557,8,1
479,278,8,1
480,701,8,1
481,10864,8,1
482,43657,9.7,3
483,791,8,1
484,1136,8,1
485,582,8,1
486,297,8,1
487,7969,8,1
488,20776,8,1
489,741,8,1
490,736,8,1
491,746,8,1
492,736,8,1
494,277,8,1
495,8221,8,1
496,471,8,1
497,290,8,1
498,333,8,1
499,521,8,1
500,112004,9.5,11
501,452,8,1
502,504,8,1
503,992,8,1
504,759,8,1
505,18305,8,1
506,330,8,1
507,428,8,1
508,390,8,1
509,250,8,1
510,463,8,1
511,330,8,1
512,293,8,1
513,261,8,1
514,642,8,1
515,699,8,1
516,386,8,1
517,484,8,1
519,2902,8,1
520,1215,8,1
521,7797,8,1
522,6271,8,1
523,219,8,1
524,496,8,1
525,420,8,1
526,195,8,1
